"filename", "language", "Markdown", "PHP", "CSS", "JavaScript", "Properties", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\wamp64\www\financiera\utils\css\alt\adminlte.plugins.css", "CSS", 0, 0, 7381, 0, 0, 0, 0, 0, 16, 1749, 9146
"c:\wamp64\www\financiera\utils\css\alt\adminlte.plugins.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\wamp64\www\financiera\utils\css\financiera-dash.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\wamp64\www\financiera\utils\css\financiera.css", "CSS", 0, 0, 70, 0, 0, 0, 0, 0, 4, 21, 95
"c:\wamp64\www\financiera\utils\css\grid.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\wamp64\www\financiera\utils\css\jquery.dataTables.css", "CSS", 0, 0, 637, 0, 0, 0, 0, 0, 12, 11, 660
"c:\wamp64\www\financiera\utils\css\toastify.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 14, 0, 15
"c:\wamp64\www\financiera\utils\css\vanilla-datatable.css", "CSS", 0, 0, 138, 0, 0, 0, 0, 0, 11, 29, 178
"c:\wamp64\www\financiera\utils\js\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 58
"c:\wamp64\www\financiera\utils\js\adminlte.js", "JavaScript", 0, 0, 0, 2191, 0, 0, 0, 0, 330, 549, 3070
"c:\wamp64\www\financiera\utils\js\adminlte.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\wamp64\www\financiera\utils\js\core\main.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 7, 16
"c:\wamp64\www\financiera\utils\js\demo.js", "JavaScript", 0, 0, 0, 597, 0, 0, 0, 0, 14, 79, 690
"c:\wamp64\www\financiera\utils\js\libs\crypto.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\wamp64\www\financiera\utils\js\libs\gridjs.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"c:\wamp64\www\financiera\utils\js\libs\jquery.dataTables.js", "JavaScript", 0, 0, 0, 6762, 0, 0, 0, 0, 6899, 2067, 15728
"c:\wamp64\www\financiera\utils\js\libs\toastify-js.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 14, 0, 15
"c:\wamp64\www\financiera\utils\js\modules\login.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\wamp64\www\financiera\utils\js\pages\dashboard.js", "JavaScript", 0, 0, 0, 216, 0, 0, 0, 0, 30, 22, 268
"c:\wamp64\www\financiera\utils\js\pages\dashboard2.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 0, 165, 14, 271
"c:\wamp64\www\financiera\utils\js\pages\dashboard3.js", "JavaScript", 0, 0, 0, 128, 0, 0, 0, 0, 11, 9, 148
"c:\wamp64\www\financiera\utils\js\vanillaDataTable.js", "JavaScript", 0, 0, 0, 1598, 0, 0, 0, 0, 407, 421, 2426
"c:\wamp64\www\financiera\utils\libs\fpdf\FAQ.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 239, 0, 29, 268
"c:\wamp64\www\financiera\utils\libs\fpdf\changelog.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 171, 0, 1, 172
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\__construct.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 62, 0, 1, 63
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\acceptpagebreak.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 59, 0, 4, 63
